MadhyaPradesh,Singrauli,RIRuO,Null,Null,Null
MadhyaPradesh,Ujjain,RIRuO,Low,Low,High
Maharashtra,Amravati,RIRuO,Low,Low,Critical
Maharashtra,Aurangabad,RIRuO,Low,Moderate,High
Maharashtra,Badlapur,RIRuO,Moderate,Critical,Critical
Maharashtra,Chandrapur,RIRuO,Moderate,Moderate,Critical
Maharashtra,Jalgaon,RIRuO,Low,High,Critical
Maharashtra,Kolhapur,ES (Sahyadri),Moderate,Moderate,High
Maharashtra,Latur,RIRuO,Low,Low,Critical
Maharashtra,Lote,RIRuO,Null,Null,Null
Maharashtra,Pune,RIRuO,Moderate,Moderate,High
Maharashtra,Mahad,RIRuO,Low,Moderate,Critical
Maharashtra,Mumbai,RIRuO,Low,Low,Critical
Maharashtra,Nagpur,RIRuO,Low,Moderate,Critical
Maharashtra,Nashik,RIRuO,Low,Moderate,High
Maharashtra,Navi Mumbai,RIRuO,Low,Moderate,Critical
Maharashtra,Roha,RIRuO,Low,Moderate,High
Maharashtra,Sangli,RIRuO,Low,Moderate,High
Maharashtra,Solapur,RIRuO,Low,Moderate,High
Maharashtra,Thane,RIRuO,Low,Low,Moderate
Maharashtra,Ulhasnagar,RIRuO,Moderate,Critical,Critical
Meghalaya,Byrnihat,RIRuO,Null,Low,Critical
Meghalaya,Dawki,RIRuO,Low,Low,High
Meghalaya,Shillong,ES (Hill station),Low,Low,High
Meghalaya,Tura,RIRuO,Null,Null,Null
Mizoram,Aizawl,Hill sta- tion,Low,Low,Moderate
Nagaland,Dimapur,RIRuO,Low,Low,High
Nagaland,Kohima,ES (Hill station),Low,Low,High
Orissa,Angul,RIRuO,Low,Moderate,Critical
Orissa,Balasore,RIRuO,Low,Low,High
Orissa,Berhampur,RIRuO,Low,Low,Moderate
Orissa,Bhubneshwar,RIRuO,Low,Low,High
Orissa,Cuttack,RIRuO,Low,Moderate,High
Orissa,Rayagada,RIRuO,Low,Low,Moderate
Orissa,Rourkela,RIRuO,Low,Low,Critical
Orissa,Sambalpur,RIRuO,Low,Low,Moderate
Orissa,Talcher,RIRuO,Low,Moderate,Critical
Punjab,Amritsar,RIRuO,Low,Moderate,Critical
Punjab,Bhatinda,RIRuO,Low,Moderate,Critical
Punjab,Dera Bassi,RIRuO,Low,Moderate,Critical
Punjab,Pathankot/DeraBaba,RIRuO,Low,Low,High
Punjab,Gobindgarh,RIRuO,Low,Moderate,Critical
Punjab,Jalandar,RIRuO,Null,Null,Null
Punjab,Khanna,RIRuO,Low,Moderate,Critical
Punjab,Ludhiana,RIRuO,Low,Moderate,Critical
Punjab,Naya Nangal,RIRuO,Low,Low,Critical
Punjab,Patiala,RIRuO,Low,Low,Critical
Puducherry,Puducherry,RIRuO,Low,Low,Moderate
Rajasthan,Alwar,ES (Aravali range),Low,Moderate,Critical
Rajasthan,Jaipur,RIRuO,Low,Moderate,Critical
Rajasthan,Jodhpur,RIRuO,Low,Moderate,Critical
Rajasthan,Kota,RIRuO,Low,Moderate,Critical
Rajasthan,Udaipur,RIRuO,Low,Moderate,Critical
Tamilnadu,Chennai,RIRuO,Low,Low,Moderate
Tamilnadu,Coimbatore,RIRuO,Low,Moderate,High
Tamilnadu,Madurai,RIRuO,Low,Moderate,Moderate
Tamilnadu,Salem,RIRuO,Low,Moderate,High
Tamilnadu,Tuticorin,RIRuO,Low,Low,Critical
UttarPradesh,Agra,ES (Taj-trapezi-um),Low,Moderate,Critical
UttarPradesh,Allahabad,RIRuO,Low,Moderate,Critical
UttarPradesh,Anpara,RIRuO,Low,Moderate,Critical
UttarPradesh,Ferozabad,ES (Taj-trapezi-um),Moderate,High,Critical
UttarPradesh,Gajraula,RIRuO,Low,Moderate,High
UttarPradesh,Ghaziabad,RIRuO,Moderate,Moderate,Critical
UttarPradesh,Jhansi,RIRuO,Low,Moderate,Critical
UttarPradesh,Kanpur,RIRuO,Low,Moderate,Critical
UttarPradesh,Khurja,RIRuO,Moderate,Moderate,Critical
UttarPradesh,Lucknow,RIRuO,Low,Moderate,Critical
UttarPradesh,Meerut,RIRuO,Low,High,Critical
UttarPradesh,Muradabad,RIRuO,Null,Null,Null
UttarPradesh,Noida,RIRuO,Low,High,Critical
UttarPradesh,Varanasi,RIRuO,Low,Low,Null
Uttarakhand,Dehradun,ES (Doon valley),High,Moderate,Critical
Uttarakhand,Haldwani,RIRuO,Null,Null,Null
Uttarakhand,Haridwar,RIRuO,Null,Null,Null
Uttarakhand,Kashipur,RIRuO,Null,Null,Null
Uttarakhand,Rishikesh,ES (Hill station),Null,Null,Critical
West Bengal,Asansol,RIRuO,Low,Critical,Critical
West Bengal,Barrackpore,RIRuO,Low,Critical,Critical
West Bengal,Durgapur,RIRuO,Low,Critical,Critical
West Bengal,Haldia,RIRuO,Low,High,Moderate
West Bengal,Howrah,RIRuO,Low,Critical,Critical
West Bengal,Kolkata,RIRuO,Low,Critical,Critical
West Bengal,Raniganj,RIRuO,Low,Critical,Critical
West Bengal,Sankrail,RIRuO,Low,Critical,Critical
West Bengal,South Suburban,RIRuO,Low,High,High
